HWSD2_SMU_ID,SEQUENCE,TOPDEP,PH_WATER,TOTAL_N,ORG_CARBON,CEC_SOIL,CLAY,SAND,SILT,WRB4,SHARE
16810,1,40,6.5,0.40000001,0.34200001,6,13,70,17,RGeu,50
17612,2,0,5.5999999,0.44999999,0.31,6,13,71,16,ALha,30
17612,2,20,5.6999998,0.28999999,0.26300001,7,17,66,17,ALha,30
17612,2,40,5.5999999,0.52999997,0.22400001,9,23,60,17,ALha,30
17612,2,60,5.3000002,0.47,0.178,9,22,63,15,ALha,30
17612,2,80,5.5999999,0.44,0.132,8,20,66,14,ALha,30
17612,2,100,5,0.44,0.15900001,7,27,40,33,ALha,30
17612,2,150,5.0999999,0.41,0.122,10,25,43,32,ALha,30
17606,2,0,5.1999998,3.6600001,5.8769999,27,29,27,44,UMal,35
17606,2,20,5.1999998,1.27,1.75,20,32,26,42,UMal,35
17606,2,40,5.1999998,0.91000003,0.912,19,34,26,40,UMal,35
17606,2,60,5.1999998,0.66000003,0.62699997,18,35,27,38,UMal,35
17606,2,80,5.1999998,0.61000001,0.55199999,17,34,28,38,UMal,35
17606,2,100,5.1999998,0.54000002,0.35999998,18,32,32,36,UMal,35
17606,2,150,5.1999998,0.47999999,0.27599999,16,28,36,36,UMal,35
32142,1,0,6.5999999,0.25,0.24000001,3,5,90,5,AR,100
32142,1,20,6.5,0.20999999,0.17399999,3,6,89,5,AR,100
32142,1,40,6.5,0.19,0.139,3,6,89,5,AR,100
32142,1,60,6.5,0.16,0.112,3,6,89,5,AR,100
32142,1,80,6.5,0.17,0.11799999,3,7,88,5,AR,100
32142,1,100,6.5999999,0.16,0.111,3,7,88,5,AR,100
32142,1,150,6.5,0.1,0.079999998,3,7,88,5,AR,100
27017,5,0,6.4000001,0.49000001,0.72500002,5,7,87,6,ARbr,5
27017,5,20,6.4000001,0.28,0.38599998,3,7,87,6,ARbr,5
27017,5,40,6.5,0.25,0.28399998,3,7,86,7,ARbr,5
27017,5,60,6.5999999,0.22,0.183,3,8,84,8,ARbr,5
27017,5,80,6.8000002,0.19,0.126,5,9,82,9,ARbr,5
27017,5,100,6.5999999,0.19,0.108,2,5,90,5,ARbr,5
27017,5,150,6.8000002,0.1,0.082999997,3,5,91,4,ARbr,5
26920,1,0,6.9000001,0.22,0.24200001,4,6,89,5,ARbr,100
16907,1,0,6.9000001,0.22,0.24200001,4,6,89,5,ARbr,80
17614,1,0,6.9000001,0.22,0.24200001,4,6,89,5,ARbr,100
16906,1,0,6.9000001,0.22,0.24200001,4,6,89,5,ARbr,70
27030,1,0,6.9000001,0.22,0.24200001,4,6,89,5,ARbr,80
27024,4,0,6.9000001,0.22,0.24200001,4,6,89,5,ARbr,10
17602,1,0,6.9000001,0.22,0.24200001,4,6,89,5,ARbr,100
26920,1,20,6.8000002,0.22,0.171,4,6,89,5,ARbr,100
16907,1,20,6.8000002,0.22,0.171,4,6,89,5,ARbr,80
17614,1,20,6.8000002,0.22,0.171,4,6,89,5,ARbr,100
16906,1,20,6.8000002,0.22,0.171,4,6,89,5,ARbr,70
27030,1,20,6.8000002,0.22,0.171,4,6,89,5,ARbr,80
27024,4,20,6.8000002,0.22,0.171,4,6,89,5,ARbr,10
17602,1,20,6.8000002,0.22,0.171,4,6,89,5,ARbr,100
26920,1,40,6.6999998,0.22,0.14199999,4,5,90,5,ARbr,100
16907,1,40,6.6999998,0.22,0.14199999,4,5,90,5,ARbr,80
17614,1,40,6.6999998,0.22,0.14199999,4,5,90,5,ARbr,100
16906,1,40,6.6999998,0.22,0.14199999,4,5,90,5,ARbr,70
27030,1,40,6.6999998,0.22,0.14199999,4,5,90,5,ARbr,80
27024,4,40,6.6999998,0.22,0.14199999,4,5,90,5,ARbr,10
17602,1,40,6.6999998,0.22,0.14199999,4,5,90,5,ARbr,100
26920,1,60,6.8000002,0.20999999,0.103,4,5,89,6,ARbr,100
16907,1,60,6.8000002,0.20999999,0.103,4,5,89,6,ARbr,80
17614,1,60,6.8000002,0.20999999,0.103,4,5,89,6,ARbr,100
16906,1,60,6.8000002,0.20999999,0.103,4,5,89,6,ARbr,70
27030,1,60,6.8000002,0.20999999,0.103,4,5,89,6,ARbr,80
27024,4,60,6.8000002,0.20999999,0.103,4,5,89,6,ARbr,10
17602,1,60,6.8000002,0.20999999,0.103,4,5,89,6,ARbr,100
26920,1,80,6.8000002,0.22,0.102,4,5,89,6,ARbr,100
16907,1,80,6.8000002,0.22,0.102,4,5,89,6,ARbr,80
17614,1,80,6.8000002,0.22,0.102,4,5,89,6,ARbr,100
16906,1,80,6.8000002,0.22,0.102,4,5,89,6,ARbr,70
27030,1,80,6.8000002,0.22,0.102,4,5,89,6,ARbr,80
