TANZANIA FIVE YEAR CROP PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCTION,,,2018,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,
UNIT,Red Kuri,HECTARES,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,0.14, ,,onions,onions,onions,onions,Green Manure,Green Manure,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,W/melon,W/melon,W/melon,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,Green Manure,Green Manure,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,,,
,B,0.50,,,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,C,0.85,,,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,D,1.20,,,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,E,1.55,,,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,F,1.88,,,onions,onions,onions,onions, , ,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic, , ,W/melon,W/melon,W/melon,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Avocado,Avocado,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,Avocado,Avocado,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans, , , 
,G,0.88,,,onions,onions,onions,onions, ,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,0.14,,,Red Kuri,Red Kuri,Red Kuri,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,Green Manure,Green Manure,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,onions,onions,onions,onions,Green Manure,Green Manure,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,Green Manure,Green Manure,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,B,0.50,,,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,C,0.85,,,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,D,1.20,,,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,E,1.55,,,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,F,1.88,,,Red Kuri,Red Kuri,Red Kuri,Avocado,Avocado,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,Avocado,Avocado,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,onions,onions,onions,onions,Avocado,Avocado,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Avocado,Avocado,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans, , , 
,G,0.88,,,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,0.14,,,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,Green Manure,Green Manure,Butternut,Butternut,Butternut,Beans,Beans,Beans,Pepper,Pepper,Pepper,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Green Manure,Green Manure,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Egg Plant,Egg Plant,Egg Plant,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,,,
,B,0.50,,,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,C,0.85,,,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,D,1.20,,,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
